chrysography,psychorrhagy,12
cystonephrosis,nephrocystosis,14
dorsoventrally,ventrodorsally,14
erythrophyllin,phylloerythrin,14
galvanopsychic,psychogalvanic,14
hydronephrosis,nephrohydrosis,14
barothermograph,thermobarograph,15
chemicophysical,physicochemical,15
constructionism,misconstruction,15
cystourethritis,urethrocystitis,15
dextrosinistral,sinistrodextral,15
imperscriptible,imprescriptible,15
impressibleness,permissibleness,15
lithonephrotomy,nephrolithotomy,15
macrophotograph,photomacrograph,15
microphotograph,photomicrograph,15
misunderstander,remisunderstand,15
phototelegraphy,telephotography,15
phototypography,phytotopography,15
pretransmission,transimpression,15
sternovertebral,vertebrosternal,15
arthrochondritis,chondroarthritis,16
biopsychological,psychobiological,16
chronophotograph,photochronograph,16
dynamoelectrical,electrodynamical,16
ferrihydrocyanic,hydroferricyanic,16
ferrohydrocyanic,hydroferrocyanic,16
fibromyxosarcoma,myxofibrosarcoma,16
glycerophosphate,phosphoglycerate,16
heliophotography,photoheliography,16
incontrovertible,introconvertible,16
laparosplenotomy,splenolaparotomy,16
lithophotography,photolithography,16
microphotography,photomicrography,16
monopersulphuric,permonosulphuric,16
petrographically,pterylographical,16
pharyngorhinitis,rhinopharyngitis,16
photostereograph,stereophotograph,16
phototelegraphic,telephotographic,16
physiopsychology,psychophysiology,16
psychotechnology,technopsychology,16
somatosplanchnic,splanchnosomatic,16
spectrotelescope,telespectroscope,16
streptothricosis,streptotrichosis,16
acetmethylanilide,methylacetanilide,17
basiparachromatin,marsipobranchiata,17
cephalomeningitis,meningocephalitis,17
cerebromeningitis,meningocerebritis,17
chemicomechanical,mechanicochemical,17
chromolithography,lithochromography,17
chromophotography,photochromography,17
chronophotography,photochronography,17
constitutionalism,misconstitutional,17
electromagnetical,magnetoelectrical,17
encephalomyelitis,myeloencephalitis,17
hexakisoctahedron,octakishexahedron,17
hydropneumothorax,pneumohydrothorax,17
hysterolaparotomy,laparohysterotomy,17
hysteromyomectomy,myomohysterectomy,17
laryngopharyngeal,pharyngolaryngeal,17
microphotographic,photomicrographic,17
microspectroscope,spectromicroscope,17
misrepresentation,representationism,17
chondromyxosarcoma,myxochondrosarcoma,18
chronophotographic,photochronographic,18
electrothermometer,thermoelectrometer,18
epididymovasostomy,vasoepididymostomy,18
galvanothermometer,thermogalvanometer,18
hexakistetrahedron,tetrakishexahedron,18
laryngopharyngitis,pharyngolaryngitis,18
laryngotracheotomy,tracheolaryngotomy,18
neuropsychological,psychoneurological,18
anatomicopathologic,pathologicoanatomic,19
clinicopathological,pathologicoclinical,19
encephalomeningitis,meningoencephalitis,19
esophagogastrostomy,gastroesophagostomy,19
incontrovertibility,introconvertibility,19
pericardiacophrenic,phrenicopericardiac,19
physiopsychological,psychophysiological,19
anatomicophysiologic,physiologicoanatomic,20
encephalomeningocele,meningoencephalocele,20
glossolabiolaryngeal,labioglossolaryngeal,20
anatomicopathological,pathologicoanatomical,21
chromophotolithograph,photochromolithograph,21
duodenopancreatectomy,pancreatoduodenectomy,21
glossolabiopharyngeal,labioglossopharyngeal,21
cholecystoduodenostomy,duodenocholecystostomy,22
hydropneumopericardium,pneumohydropericardium,22
gramophonically,monographically,nomographically,phonogramically,15
